URUNID;MIKTAR;FIRMAID;SEHIR;URUNTIPIID;SIPARISTARIHI;GELDIGITARIHI;TEDARIKSURESI
APRE0001;30;3949;TEKİRDAĞ;1;15 Aralık 2021 Çarşamba;14 Ocak 2022 Cuma;30
BAMT0020;10;617;;0;21 Kasım 2017 Salı;22 Kasım 2017 Çarşamba;1
BAMT0020;10;617;;0;15 Ocak 2018 Pazartesi;16 Ocak 2018 Salı;1
BAMT0020;20;617;;0;22 Ocak 2018 Pazartesi;23 Ocak 2018 Salı;1
BAMT0020;20;617;;0;12 Mart 2018 Pazartesi;19 Mart 2018 Pazartesi;7
BAMT0020;30;617;;0;26 Nisan 2018 Perşembe;9 Mayıs 2018 Çarşamba;13
BAMT0020;10;617;;0;29 Haziran 2018 Cuma;6 Temmuz 2018 Cuma;7
BAMT0020;10;617;;0;29 Haziran 2018 Cuma;10 Temmuz 2018 Salı;11
BAMT0020;10;617;;0;30 Temmuz 2018 Pazartesi;31 Temmuz 2018 Salı;1
BAMT0020;10;617;;0;27 Ağustos 2018 Pazartesi;28 Ağustos 2018 Salı;1
BAMT0020;20;617;;0;22 Ekim 2018 Pazartesi;26 Ekim 2018 Cuma;4
BAMT0020;10;617;;0;15 Ocak 2019 Salı;16 Ocak 2019 Çarşamba;1
BAMT0020;10;617;;0;21 Şubat 2019 Perşembe;22 Şubat 2019 Cuma;1
BAMT0020;20;617;;0;26 Mart 2019 Salı;27 Mart 2019 Çarşamba;1
BAMT0020;20;617;;0;1 Haziran 2019 Cumartesi;11 Haziran 2019 Salı;10
BAMT0020;20;617;;0;11 Eylül 2019 Çarşamba;12 Eylül 2019 Perşembe;1
BAMT0020;30;617;;0;12 Aralık 2019 Perşembe;13 Aralık 2019 Cuma;1
BAMT0021;10;617;;0;26 Ekim 2017 Perşembe;27 Ekim 2017 Cuma;1
BAMT0021;10;617;;0;21 Kasım 2017 Salı;22 Kasım 2017 Çarşamba;1
BAMT0021;10;617;;0;15 Ocak 2018 Pazartesi;16 Ocak 2018 Salı;1
BAMT0021;20;617;;0;22 Ocak 2018 Pazartesi;23 Ocak 2018 Salı;1
BAMT0021;20;617;;0;12 Mart 2018 Pazartesi;19 Mart 2018 Pazartesi;7
BAMT0021;30;617;;0;26 Nisan 2018 Perşembe;27 Nisan 2018 Cuma;1
BAMT0021;10;617;;0;30 Temmuz 2018 Pazartesi;31 Temmuz 2018 Salı;1
BAMT0021;10;617;;0;27 Ağustos 2018 Pazartesi;28 Ağustos 2018 Salı;1
BAMT0021;10;617;;0;27 Ağustos 2018 Pazartesi;29 Ağustos 2018 Çarşamba;2
BAMT0021;10;617;;0;27 Ağustos 2018 Pazartesi;6 Eylül 2018 Perşembe;10
BAMT0021;10;617;;0;21 Şubat 2019 Perşembe;22 Şubat 2019 Cuma;1
BAMT0021;20;617;;0;1 Haziran 2019 Cumartesi;27 Haziran 2019 Perşembe;26
BAMT0021;20;617;;0;11 Eylül 2019 Çarşamba;12 Eylül 2019 Perşembe;1
BAMT0021;30;617;;0;12 Aralık 2019 Perşembe;13 Aralık 2019 Cuma;1
BAMT0022;10;617;;0;12 Ekim 2017 Perşembe;13 Ekim 2017 Cuma;1
BAMT0022;10;617;;0;26 Ekim 2017 Perşembe;27 Ekim 2017 Cuma;1
BAMT0022;10;617;;0;21 Kasım 2017 Salı;22 Kasım 2017 Çarşamba;1
BAMT0022;10;617;;0;15 Ocak 2018 Pazartesi;16 Ocak 2018 Salı;1
BAMT0022;20;617;;0;22 Ocak 2018 Pazartesi;23 Ocak 2018 Salı;1
BAMT0022;20;617;;0;12 Mart 2018 Pazartesi;19 Mart 2018 Pazartesi;7
BAMT0022;30;617;;0;26 Nisan 2018 Perşembe;9 Mayıs 2018 Çarşamba;13
BAMT0022;20;617;;0;27 Ağustos 2018 Pazartesi;28 Ağustos 2018 Salı;1
BAMT0022;10;617;;0;22 Ekim 2018 Pazartesi;26 Ekim 2018 Cuma;4
BAMT0022;10;617;;0;15 Ocak 2019 Salı;16 Ocak 2019 Çarşamba;1
BAMT0022;10;617;;0;21 Şubat 2019 Perşembe;22 Şubat 2019 Cuma;1
BAMT0022;20;617;;0;1 Haziran 2019 Cumartesi;11 Haziran 2019 Salı;10
